,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
3317746,11102595,07/09/2019 07:45:00 AM,07/22/2019 11:20:10 AM,07/22/2019 11:20:10 AM,Closed,"Case Resolved - Maximo Work Order has been completed. Memo:. 
     Add'l Notes:
    inside problem Inside problem,SS-MS running,verified with a flush to MS,advised owner.",PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"2287 42ND AVE, SAN FRANCISCO, CA, 94116",42ND AVE,4.0,Outer Sunset,TARAVAL,37.744106292725,-122.500625610352,"(37.74410629, -122.50062561)",Phone,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,29491.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
3839982,894607,06/05/2011 04:22:59 PM,06/25/2011 03:06:06 PM,06/25/2011 03:06:06 PM,Closed,See Notes tab for more details,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Not_Offensive,Intersection of ESSEX ST and HARRISON ST,ESSEX ST,6.0,Rincon Hill,SOUTHERN,37.785148620605,-122.394096374512,"(37.78514862, -122.39409637)",Phone,,30.0,1.0,10.0,8.0,9.0,6.0,2.0,28856.0,2.0,6.0,6.0,,30.0,,10.0,,,,,,,1.0,,,,,30.0
4855205,14489866,10/17/2021 10:05:17 PM,10/29/2021 09:30:17 PM,10/29/2021 09:30:17 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Graffiti,Graffiti on Transit_Shelter_Platform,Transit_Shelter_Platform - Offensive,"268 13TH ST, SAN FRANCISCO, CA, 94103",13TH ST,6.0,South of Market,MISSION,37.770325681571,-122.419832631133,"(37.77032568, -122.41983263)",Mobile/Open311,http://mobile311.sfgov.org/reports/14489866/photos,32.0,1.0,10.0,20.0,9.0,8.0,2.0,28853.0,2.0,19.0,19.0,,32.0,1.0,10.0,,,1.0,,,,2.0,,1.0,,,32.0
4024803,13469653,02/08/2021 10:13:00 PM,02/09/2021 06:06:00 AM,02/09/2021 06:06:00 AM,Closed,Case Resolved - Area was cleaned around the encampment. Tent remains due to COVID-19.,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,"17 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,6.0,South of Market,SOUTHERN,37.779182434082,-122.407325744629,"(37.77918243, -122.40732574)",Phone,,32.0,1.0,10.0,34.0,9.0,14.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,1.0,10.0,6.0,,1.0,6.0,,,2.0,,1.0,,,32.0
3707198,1082977,03/12/2012 08:35:34 AM,03/15/2012 06:07:10 AM,03/15/2012 06:07:10 AM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"529 BUCHANAN ST, SAN FRANCISCO, CA, 94102",BUCHANAN ST,5.0,Hayes Valley,NORTHERN,37.774917602539,-122.42781829834,"(37.7749176, -122.4278183)",Phone,,22.0,4.0,11.0,9.0,11.0,7.0,6.0,28852.0,9.0,10.0,10.0,,22.0,,11.0,,,,,,,1.0,,,,,22.0
4900396,14610878,11/13/2021 07:12:00 PM,11/14/2021 02:33:00 PM,11/14/2021 02:33:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"280 13TH ST, SAN FRANCISCO, CA, 94103",13TH ST,6.0,South of Market,MISSION,37.770173566667,-122.41948395,"(37.77017357, -122.41948395)",Mobile/Open311,http://mobile311.sfgov.org/reports/14610878/photos,32.0,3.0,10.0,20.0,9.0,8.0,7.0,28853.0,4.0,19.0,19.0,,32.0,1.0,10.0,,,3.0,,,,2.0,,3.0,,,32.0
2539663,6978240,03/26/2017 07:00:55 PM,03/30/2017 07:25:22 PM,03/30/2017 07:25:22 PM,Closed,Case Resolved,DPW Ops Queue,Street Defects,Pavement_Defect,Pavement_Defect,Intersection of LARKIN ST and WASHINGTON ST,LARKIN ST,3.0,Polk Gulch,CENTRAL,37.793505,-122.419599,"(37.793505, -122.419599)",Mobile/Open311,http://mobile311.sfgov.org/reports/6978240/photos,105.0,6.0,3.0,32.0,10.0,13.0,6.0,28858.0,9.0,32.0,32.0,,105.0,,3.0,,,,,,,1.0,,,,,105.0
5219475,13803898,05/09/2021 04:26:17 PM,05/09/2021 04:26:18 PM,05/09/2021 04:26:18 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"670 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,9.0,Mission Dolores,MISSION,37.76229945015,-122.42163757805,"(37.76229945, -122.42163758)",Mobile/Open311,http://mobile311.sfgov.org/reports/13803898/photos,37.0,3.0,5.0,20.0,5.0,8.0,7.0,28859.0,4.0,19.0,19.0,,37.0,,5.0,,,3.0,,,,1.0,,3.0,,,37.0
4437444,12478335,05/31/2020 07:33:26 PM,06/12/2020 12:07:34 PM,06/12/2020 12:07:34 PM,Closed,Case Resolved - case is resolved,DPT SignShop Queue,Sign Repair,Sign - Defaced,Other_Parking_Type - Defaced; support - OK,Intersection of GREEN ST and LYON ST,GREEN ST,2.0,Pacific Heights,NORTHERN,37.7948,-122.446755,"(37.7948, -122.446755)",Mobile/Open311,http://mobile311.sfgov.org/reports/12478335/photos,14.0,4.0,6.0,27.0,1.0,13.0,,57.0,,30.0,30.0,,14.0,,6.0,,,,,,,1.0,,,,,14.0
1213834,15563720,07/12/2022 03:45:00 PM,07/13/2022 06:37:05 AM,07/13/2022 06:37:05 AM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"530 HAIGHT ST, SAN FRANCISCO, CA, 94117",HAIGHT ST,5.0,Lower Haight,NORTHERN,37.772167205811,-122.430839538574,"(37.77216721, -122.43083954)",Phone,,26.0,4.0,11.0,9.0,11.0,15.0,6.0,29492.0,9.0,10.0,10.0,,26.0,,11.0,,,,,,,1.0,,,,,26.0
2771347,14280388,09/01/2021 07:11:00 AM,09/01/2021 08:43:00 AM,09/01/2021 08:43:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"929 FILBERT ST, SAN FRANCISCO, CA, 94133",FILBERT ST,3.0,Russian Hill,CENTRAL,37.800424,-122.414764,"(37.800424, -122.414764)",Mobile/Open311,http://mobile311.sfgov.org/reports/14280388/photos,107.0,6.0,3.0,32.0,10.0,5.0,1.0,308.0,1.0,32.0,32.0,,107.0,,3.0,,,,,,,1.0,,,,,107.0
3907721,808806,01/19/2011 10:10:55 AM,01/20/2011 06:11:21 AM,01/20/2011 06:11:21 AM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,Bulky Items,Mattress,Intersection of 21ST AVE and LINCOLN WAY,21ST AVE,4.0,Outer Sunset,TARAVAL,37.765350341797,-122.479400634766,"(37.76535034, -122.47940063)",Phone,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,56.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
2838411,14101994,07/26/2021 08:54:15 AM,07/27/2021 07:07:00 AM,07/27/2021 07:07:00 AM,Closed,Case Resolved - sfpd matter,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,"1981 SUTTER ST, SAN FRANCISCO, CA, 94115",SUTTER ST,5.0,Japantown,NORTHERN,37.7859992,-122.4328964,"(37.7859992, -122.4328964)",Mobile/Open311,,101.0,4.0,11.0,15.0,11.0,13.0,6.0,29490.0,9.0,13.0,13.0,,101.0,,11.0,,,,,,,2.0,,,,,101.0
955096,3137704,12/06/2013 10:03:07 AM,01/07/2014 12:46:32 AM,01/07/2014 12:46:32 AM,Closed,Case Resolved - Customer called back and stated that case is resolved,Housing Authority SR Hold Queue,General Request - TT COLLECTOR,request_for_service,tt_collector - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589486,5634844,03/06/2016 09:42:18 AM,03/07/2016 05:04:09 PM,03/07/2016 05:04:09 PM,Closed,Case Resolved - duplicate,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,Intersection of 14TH ST and JULIAN AVE,14TH ST,9.0,Mission,MISSION,37.76822,-122.421111666667,"(37.76822, -122.42111167)",Mobile/Open311,http://mobile311.sfgov.org/reports/5634844/photos,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
5561407,898223,06/10/2011 03:49:36 PM,06/10/2011 08:06:02 PM,06/10/2011 08:06:02 PM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"126 HYDE ST, SAN FRANCISCO, CA, 94102",HYDE ST,5.0,Tenderloin,TENDERLOIN,37.782089233398,-122.415435791016,"(37.78208923, -122.41543579)",Phone,,20.0,5.0,10.0,36.0,9.0,7.0,10.0,28852.0,10.0,36.0,36.0,17.0,20.0,1.0,10.0,18.0,,1.0,18.0,6.0,1.0,2.0,1.0,1.0,,,20.0
5223201,13905301,06/05/2021 10:13:00 PM,07/06/2021 11:26:00 AM,07/06/2021 11:26:00 AM,Closed,Case Resolved,RPD Park Patrol Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,Intersection of LAKE ST and HWY 1 SOUTHBOUND,LAKE ST,1.0,Lake Street,RICHMOND,37.786286410907,-122.472702369488,"(37.78628641, -122.47270237)",Mobile/Open311,http://mobile311.sfgov.org/reports/13905301/photos,2.0,8.0,4.0,29.0,2.0,11.0,9.0,54.0,6.0,26.0,26.0,,2.0,,4.0,,,,,,,1.0,,,3.0,,2.0
2116610,8872770,04/14/2018 07:29:00 PM,10/04/2018 11:06:00 AM,10/04/2018 11:06:00 AM,Closed,Case Transferred - Customer may follow up with Mini Customer Service if desired at 415.701.5649 or MuniCustomerService@SFMTA.com,MUNI Work Queue,MUNI Feedback,MUNI - Commendation,401_Employee_Commendation,Intersection of MARINA BLVD and LAGUNA ST,MARINA BLVD,2.0,Marina,NORTHERN,37.805198669434,-122.432090759277,"(37.80519867, -122.43209076)",Phone,,17.0,4.0,6.0,13.0,1.0,13.0,6.0,28858.0,9.0,17.0,17.0,,17.0,,6.0,,,,,,,1.0,,,14.0,,17.0
1883669,4338254,12/27/2014 02:40:24 PM,01/05/2015 09:41:56 AM,01/05/2015 09:41:56 AM,Closed,Case Transferred - to PSR #466802,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,306_General_Unprofessional_Conduct_Appearance,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464589,6029954,06/28/2016 06:03:03 PM,08/22/2016 03:53:01 PM,08/22/2016 03:53:01 PM,Closed,Case Resolved - sent l/p to clean and advise sfpd,DPW Ops Queue,Encampments,Encampment Reports,Encampment Cleanup,"1941 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,9.0,Mission,MISSION,37.766356269491,-122.413258976464,"(37.76635627, -122.41325898)",Mobile/Open311,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
4567498,12111433,02/20/2020 01:05:00 PM,02/22/2020 08:01:22 AM,02/22/2020 08:01:22 AM,Closed,Case Resolved,DPW Ops Queue,Graffiti,Graffiti on Signal_box,Signal_box - Not_Offensive,"11 DUBOCE AVE, SAN FRANCISCO, CA, 94103",DUBOCE AVE,9.0,Mission,MISSION,37.769862177222,-122.419948534216,"(37.76986218, -122.41994853)",Mobile/Open311,http://mobile311.sfgov.org/reports/12111433/photos,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,,53.0,1.0,2.0,,,3.0,,,,2.0,,3.0,,,53.0
1608480,5330497,11/30/2015 12:33:57 PM,12/02/2015 12:28:50 AM,12/02/2015 12:28:50 AM,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,"2740 16TH ST, SAN FRANCISCO, CA, 94103",16TH ST,9.0,Mission,MISSION,37.765396,-122.4142,"(37.765396, -122.4142)",Mobile/Open311,http://mobile311.sfgov.org/reports/5330497/photos,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
1438545,9866926,11/29/2018 09:39:00 AM,11/30/2018 11:45:00 AM,11/30/2018 11:45:00 AM,Closed,Case Resolved,DPW Ops Queue,Sewer Issues,Flooding,On_street,Intersection of 5TH AVE and GEARY BLVD,5TH AVE,1.0,Inner Richmond,RICHMOND,37.781070709229,-122.46321105957,"(37.78107071, -122.46321106)",Phone,,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
5301950,3375116,02/17/2014 07:02:49 AM,03/07/2014 03:30:12 AM,03/07/2014 03:30:12 AM,Closed,Case Completed - resolved:,DPW Ops Queue,Illegal Postings,Illegal Posting - No_Posting_Date,No_Posting_Date,Intersection of PARNASSUS AVE and CLAYTON ST,PARNASSUS AVE,8.0,Cole Valley,PARK,37.765140533447,-122.447631835938,"(37.76514053, -122.44763184)",Web,,114.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,,114.0,,11.0,,,,,,,1.0,,,,,114.0
3853086,875600,05/04/2011 06:21:46 PM,05/05/2011 01:06:14 PM,05/05/2011 01:06:14 PM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1730 PALOU AVE, SAN FRANCISCO, CA, 94124",PALOU AVE,10.0,Silver Terrace,BAYVIEW,37.735485076904,-122.39330291748,"(37.73548508, -122.39330292)",Twitter,,87.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,87.0,,9.0,,,,,,,2.0,,,,,87.0
4734992,15003320,02/19/2022 10:50:59 AM,03/21/2022 11:00:10 PM,03/21/2022 11:00:10 PM,Closed,Transferred - Your request falls under the responsibility of The United States Postal Service (USPS) and we have submitted the request to them.,US Postal Service Maintenance Queue,Graffiti,Graffiti on Mail_box,Mail_box - Not_Offensive,"240 DOLORES ST, SAN FRANCISCO, CA, 94103",DOLORES ST,8.0,Mission Dolores,MISSION,37.765475,-122.426613333333,"(37.765475, -122.42661333)",Mobile/Open311,http://mobile311.sfgov.org/reports/15003320/photos,37.0,3.0,5.0,5.0,5.0,8.0,7.0,28862.0,4.0,3.0,3.0,,37.0,,5.0,,,,,,,1.0,,5.0,,,37.0
4260268,12916065,09/18/2020 10:19:00 AM,09/18/2020 12:53:25 PM,09/18/2020 12:53:25 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"500 UTAH ST, SAN FRANCISCO, CA, 94110",UTAH ST,10.0,Potrero Hill,BAYVIEW,37.763210296631,-122.406372070313,"(37.7632103, -122.40637207)",Phone,,54.0,2.0,9.0,20.0,8.0,8.0,7.0,28859.0,4.0,19.0,19.0,,54.0,,9.0,,,,,15.0,,2.0,,,,,54.0
4581031,12093208,02/16/2020 06:57:00 PM,02/19/2020 04:12:04 PM,02/19/2020 04:12:04 PM,Closed,Work Order Completed On 2/19/2020 - Replace the broken drain pipe. Cleared the kitchen sink stoppage.,Housing Authority SR Queue,SFHA Requests,Plumbing,Plumbing - Emergency,"1858 SUNNYDALE AVE, SAN FRANCISCO, CA, 94134",SUNNYDALE AVE,10.0,Sunnydale,INGLESIDE,37.712398529053,-122.416999816895,"(37.71239853, -122.41699982)",Phone,,74.0,9.0,9.0,40.0,8.0,9.0,4.0,309.0,7.0,39.0,39.0,14.0,74.0,,9.0,16.0,,,16.0,,,2.0,,,,,74.0
5619586,15918715,10/07/2022 05:08:00 PM,10/09/2022 11:29:36 AM,10/09/2022 11:29:36 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Pole - Street Lamp,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,Intersection of COLE ST and HAIGHT ST,COLE ST,5.0,Haight Ashbury,PARK,37.769528830609,-122.450565259243,"(37.76952883, -122.45056526)",Mobile/Open311,http://mobile311.sfgov.org/reports/15918715/photos,25.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,22.0,25.0,,11.0,24.0,,,25.0,,,1.0,,,,,25.0
4452884,12435171,05/19/2020 01:33:00 PM,05/20/2020 04:32:00 PM,05/20/2020 04:32:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"10 SUMNER ST, SAN FRANCISCO, CA, 94103",SUMNER ST,6.0,South of Market,SOUTHERN,37.776290893555,-122.410614013672,"(37.77629089, -122.41061401)",Phone,,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,1.0,10.0,6.0,,1.0,6.0,,,2.0,,1.0,,,32.0
3020445,13611291,03/19/2021 10:47:00 AM,03/24/2021 08:26:59 AM,03/24/2021 08:26:59 AM,Closed,Case Resolved - 3.22.21 Duplicate SR #2506446. DD,DPW Ops Queue,Graffiti,Graffiti on Building_commercial,Building_commercial - Offensive,"1395 HAIGHT ST, SAN FRANCISCO, CA, 94117",HAIGHT ST,5.0,Haight Ashbury,PARK,37.770146260094,-122.445116832456,"(37.77014626, -122.44511683)",Mobile/Open311,http://mobile311.sfgov.org/reports/13611291/photos,25.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,22.0,25.0,,11.0,24.0,,,25.0,,,1.0,,,,,25.0
4500943,12286335,04/03/2020 12:06:50 PM,04/03/2020 12:58:00 PM,04/03/2020 12:58:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of BROTHERHOOD WAY and JUNIPERO SERRA BLVD ON RAMP,BROTHERHOOD WAY,7.0,Merced Heights,TARAVAL,37.712639691804,-122.470585211299,"(37.71263969, -122.47058521)",Mobile/Open311,,65.0,10.0,8.0,24.0,4.0,9.0,5.0,64.0,8.0,24.0,24.0,,65.0,,8.0,,,,,,,2.0,,,,,65.0
1566184,6658670,12/24/2016 10:08:54 AM,12/28/2016 11:15:20 AM,12/28/2016 11:15:20 AM,Closed,Case Resolved - SES Graffiti Crew  - Steam Clean - Structure - Sidewalk,DPW Ops Queue,Graffiti,Graffiti on Sidewalk_in_front_of_property,Sidewalk_in_front_of_property - Not_Offensive,"720 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,6.0,South of Market,SOUTHERN,37.775134676432,-122.411065036357,"(37.77513468, -122.41106504)",Mobile/Open311,http://mobile311.sfgov.org/reports/6658670/photos,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,,32.0,1.0,10.0,,,1.0,,,,2.0,,1.0,,,32.0
625128,5534621,02/04/2016 09:41:10 AM,02/10/2016 04:03:00 AM,02/10/2016 04:03:00 AM,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"143 DUBLIN ST, SAN FRANCISCO, CA, 94112",DUBLIN ST,11.0,Excelsior,INGLESIDE,37.717601107469,-122.426300430784,"(37.71760111, -122.42630043)",Mobile/Open311,http://mobile311.sfgov.org/reports/5534621/photos,73.0,9.0,9.0,19.0,8.0,9.0,4.0,309.0,7.0,18.0,18.0,,73.0,,9.0,,,,,,,2.0,,,,,73.0
4338454,12736642,08/05/2020 10:30:49 AM,08/05/2020 12:53:33 PM,08/05/2020 12:53:33 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1810 PAGE ST, SAN FRANCISCO, CA, 94117",PAGE ST,5.0,Haight Ashbury,PARK,37.7706016,-122.4505674,"(37.7706016, -122.4505674)",Web,http://mobile311.sfgov.org/reports/12736642/photos,25.0,7.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,22.0,25.0,,11.0,24.0,,,25.0,,,1.0,,,,,25.0
4228070,13007875,10/10/2020 05:30:00 PM,10/10/2020 10:15:53 PM,10/10/2020 10:15:53 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 13007871,DPW Ops Queue,Illegal Postings,Illegal Postings - Posted_on_Traffic_Light,Posted on Traffic Light,"1600 WEBSTER ST, SAN FRANCISCO, CA, 94115",WEBSTER ST,5.0,Japantown,NORTHERN,37.785386,-122.4313018,"(37.785386, -122.4313018)",Web,,101.0,4.0,11.0,15.0,11.0,13.0,6.0,29490.0,9.0,13.0,13.0,8.0,101.0,,11.0,9.0,,,9.0,11.0,,2.0,,,,,101.0
4749154,15205763,04/11/2022 06:10:00 PM,04/12/2022 12:00:00 AM,04/12/2022 12:00:00 AM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 15201149,DPW Ops Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,Intersection of 17TH ST and SOUTH VAN NESS AVE,17TH ST,9.0,Mission,MISSION,37.763647751467,-122.417418747923,"(37.76364775, -122.41741875)",Mobile/Open311,http://mobile311.sfgov.org/reports/15205763/photos,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28859.0,4.0,19.0,19.0,12.0,53.0,,2.0,14.0,,3.0,14.0,,,2.0,,3.0,,,53.0
5656671,15852245,09/21/2022 06:55:05 PM,09/22/2022 06:00:00 AM,09/22/2022 06:00:00 AM,Closed,Case Resolved - Pickup completed,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2335 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1.0,Outer Richmond,RICHMOND,37.776248850594,-122.484132703096,"(37.77624885, -122.4841327)",Mobile/Open311,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,1.0,,,,,8.0
1803256,4620093,03/30/2015 11:47:04 AM,04/02/2015 11:41:48 AM,04/02/2015 11:41:48 AM,Closed,Case Resolved,SFMTA - Citations/Resident Parking Permits - G,General Request - MTA,request_for_service,parking_meter_cards - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4355988,12712851,07/30/2020 12:59:18 PM,07/30/2020 01:00:00 PM,07/30/2020 01:00:00 PM,Closed,Case is Invalid - Report to SFPD 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"105 BERRY ST, SAN FRANCISCO, CA, 94107",BERRY ST,6.0,Mission Bay,SOUTHERN,37.776641700011,-122.392093982296,"(37.7766417, -122.39209398)",Mobile/Open311,,34.0,1.0,10.0,4.0,9.0,6.0,2.0,28856.0,2.0,20.0,20.0,,34.0,,10.0,,,,,,,1.0,,,,,34.0
1205634,14684109,12/02/2021 07:19:00 AM,12/02/2021 07:33:36 AM,12/02/2021 07:33:36 AM,Closed,Case Resolved - Officer responded to request under CAD # 213360547.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,Dark blue - Volkswagon Golf - 8ALE362,"3727 LAWTON ST, SAN FRANCISCO, CA, 94122",LAWTON ST,4.0,Outer Sunset,TARAVAL,37.7566156,-122.5030042,"(37.7566156, -122.5030042)",Web,,39.0,10.0,7.0,35.0,3.0,1.0,5.0,56.0,8.0,35.0,35.0,,39.0,,7.0,,,,,,,1.0,,,,,39.0
827307,3758063,06/20/2014 09:47:23 AM,07/29/2014 03:42:11 PM,07/29/2014 03:42:11 PM,Closed,Case Resolved - FOR VEHICLES PARKED 72HRS OR LONGER CONTACT 311 (415)701-2311,SFMTA - Parking Enforcement - G,General Request - MTA,complaint,parking_enforcement - complaint,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4165139,13187075,11/26/2020 02:45:00 PM,11/27/2020 07:55:20 AM,11/27/2020 07:55:20 AM,Closed,Case Resolved - CITY CAN NOT FOUND,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of MARKET ST and STEUART ST,MARKET ST,3.0,Financial District,CENTRAL,37.794479370117,-122.394744873047,"(37.79447937, -122.39474487)",Phone,,108.0,6.0,3.0,8.0,10.0,4.0,2.0,28855.0,2.0,6.0,6.0,,108.0,,3.0,,,4.0,,,,1.0,,4.0,35.0,,108.0
98710,724075,09/01/2010 08:57:57 AM,09/02/2010 06:19:34 AM,09/02/2010 06:19:34 AM,Closed,See Notes tab for more details,DPW Ops Queue,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of FRANKLIN ST and HICKORY ST,FRANKLIN ST,5.0,Civic Center,NORTHERN,37.775695800781,-122.421051025391,"(37.7756958, -122.42105103)",Phone,,21.0,4.0,11.0,9.0,11.0,7.0,6.0,28852.0,9.0,10.0,10.0,,21.0,1.0,11.0,,,1.0,,8.0,,1.0,,1.0,,,21.0
5538818,8579330,02/01/2018 10:08:00 AM,02/02/2018 05:57:00 PM,02/02/2018 05:57:00 PM,Closed,DPT Abandoned Vehicles- Gone on Arrival - 02/02/18 @1255  hours 7H85,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"95 26TH AVE, SAN FRANCISCO, CA, 94121",26TH AVE,1.0,Seacliff,RICHMOND,37.7876766,-122.4866202,"(37.7876766, -122.4866202)",Web,,1.0,8.0,6.0,33.0,1.0,11.0,9.0,55.0,6.0,33.0,33.0,,1.0,,6.0,,,,,,,1.0,,,,,1.0
